"ID","DisplayOrder","RatingSheetID","CatalogCriterionID","_CommentFlags","_CommentCount"
"4","1","2","Inspire Others","",""
"5","2","2","Demonstrate Emotional Intelligence","",""
"11","1","1","Inspire Others","",""
"12","1","3","Inspire Others","",""
"13","2","3","Demonstrate Emotional Intelligence","",""
"14","3","3","Drive Results","",""
"15","4","3","Leadership and Managerial Experience","",""
"16","5","3","Self-Development","",""
"17","6","3","Career Goals and Timeline","",""
"18","7","3","Benefit to NCUA","",""
"19","8","3","Skills Application","",""
"20","9","3","Application Quality","",""
"21","1","","Inspire Others","",""
"22","2","","Demonstrate Emotional Intelligence","",""
"23","3","","Drive Results","",""
"24","4","","Self-Development","",""
"25","5","","Career Goals and Timeline","",""
"26","6","","Benefit to NCUA","",""
"27","7","","Skills Application","",""
"28","8","","Application Quality","",""
"29","1","","Inspire Others","",""
"30","2","","Demonstrate Emotional Intelligence","",""
"31","3","","Drive Results","",""
"32","4","","Self-Development","",""
"33","5","","Career Goals and Timeline","",""
"34","6","","Benefit to NCUA","",""
"35","7","","Skills Application","",""
"36","8","","Application Quality","",""
"37","1","","Inspire Others","",""
"38","1","","Inspire Others","",""
"39","2","","Demonstrate Emotional Intelligence","",""
"40","2","","Demonstrate Emotional Intelligence","",""
"41","3","","Drive Results","",""
"42","3","","Drive Results","",""
"43","4","","Self-Development","",""
"44","4","","Self-Development","",""
"45","5","","Career Goals and Timeline","",""
"46","5","","Career Goals and Timeline","",""
"47","6","","Benefit to NCUA","",""
"48","6","","Benefit to NCUA","",""
"49","7","","Skills Application","",""
"50","7","","Skills Application","",""
"51","8","","Application Quality","",""
"52","8","","Application Quality","",""
"58","1","5","Application Quality","",""
"59","2","5","Benefit to NCUA","",""
"60","3","5","Career Goals and Timeline","",""
"61","4","5","Demonstrate Emotional Intelligence","",""
"62","5","5","Drive Results","",""
"68","1","6","Application Quality","",""
"69","2","6","Benefit to NCUA","",""
"70","3","6","Career Goals and Timeline","",""
"71","4","6","Program Fit","",""
"72","5","6","Demonstrate Emotional Intelligence","",""
